#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITLE_AVE_MARIA_seasonal_flavour.1;Celebrating the Brumalia;;;;;;;;;;;;;x
EVTDESC_AVE_MARIA_seasonal_flavour.1;The days are becoming shorter and much of the Autumn harvests are done being brought into the storehouses and preserved for the Winter. While walking through the market with your entourage one day you cannot help but acknowledge that the season of Brumalia is in full swing, with its evening banquets, exchanging of gifts, and sending cakes to friends or priests. As you walk past a stall with the delectable scent of fresh cakes, you wonder who you should send one to.;;;;;;;;;;;;;x
EVTOPT_A_AVE_MARIA_seasonal_flavour.1;I should remember my beloved family first;;;;;;;;;;;;;x
EVTOPT_B_AVE_MARIA_seasonal_flavour.1;Maybe one of my advisors would appreciate the gift;;;;;;;;;;;;;x
EVTOPT_C_AVE_MARIA_seasonal_flavour.1;I should send cake to my priest, as the common folk do;;;;;;;;;;;;;x
EVTOPT_D_AVE_MARIA_seasonal_flavour.1;I won't be celebrating any pagan holidays, thank you very much;;;;;;;;;;;;;x
opinion_roman_administration_brumalia_cake;Received a Brumalia Cake;;;;;;;;;;;;;x
EVTTITLE_AVE_MARIA_seasonal_flavour.2;Distasteful Brumalians;;;;;;;;;;;;;x
EVTDESC_AVE_MARIA_seasonal_flavour.2;You begin to walk across the street towards the church to attend this evening's service of Vespers. The air is cool and smells of Autumn. You find it to be distinctly solemn and peaceful. That is, until a door is opened across the street and you hear the merriment of a party! Could it be, that good Christians are still holding Brumalia banquets instead of going to Vespers?;;;;;;;;;;;;;x
EVTOPT_A_AVE_MARIA_seasonal_flavour.2;It's about time someone put an end to this!;;;;;;;;;;;;;x
EVTOPT_B_AVE_MARIA_seasonal_flavour.2;Well, I suppose they're not hurting anyone;;;;;;;;;;;;;x
outlawed_brumalia_modifier;Outlawed Brumalia;;;;;;;;;;;;;x
opinion_vota_tie;We tied together in the Vota;;;;;;;;;;;;;x
won_the_vota_modifier;Won the Vota;;;;;;;;;;;;;x
lost_the_vota_modifier;Lost the Vota;;;;;;;;;;;;;x
EVTTITLE_AVE_MARIA_seasonal_flavour.3;Running the Vota;;;;;;;;;;;;;x
EVTDESC_AVE_MARIA_seasonal_flavour.3;One of the most popular events of the Kalendae Ianuariae every year is the Ludus Votivus, but most just call it the Vota. Charioteers and other contestants compete in a foot race to help celebrate the coming of the new year. One of your advisors reminds you that the Vota is coming up soon, would you like to watch?;;;;;;;;;;;;;x
EVTOPT_A_AVE_MARIA_seasonal_flavour.3;This year, I shall go watch the runners of the Vota;;;;;;;;;;;;;x
