#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MILITARY_THEME_TITLE;Thema [This.GetBaseName];;;;;;;;;;;;;x
FAMILY_COUNT_TITLE;[target_military_theme_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
FAMILY_COUNT_TITLE_HIGH_OFFICE;[target_central_judicial_official_holder.GetOnlyDynastyName] Family;;;;;;;;;;;;;x
family_elective;Family Elective;;;;;;;;;;;;;x
succ_roman_family_elective;Roman Family Succession;;;;;;;;;;;;;x
greek;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;Rhomaîos;;;;;;;;;x
k_megas_domestikos;Scholae Palatinae;;;;;;;;;;;;;x
k_megas_droungarios;Imperial Fleet;;;;;;;;;;;;;x
roman_administration_fire_official;Fire Official;;;;;;;;;;;;;x
roman_administration_fire_official_short;§YFire Official§!;;;;;;;;;;;;;x
roman_administration_fire_official_desc;§Y[From.GetTitledFirstName]§! has decided it is time for §Y[This.GetTitledFirstName]§! to leave his office.;;;;;;;;;;;;;x
roman_administration_name_official;Name Official;;;;;;;;;;;;;x
roman_administration_name_official_short;§YName Official§!;;;;;;;;;;;;;x
roman_administration_name_official_desc;§Y[From.GetTitledFirstName]§! has decided it is time for §Y[This.GetTitledFirstName]§! to leave his office and name someone better qualified at his post.;;;;;;;;;;;;;x
k_roman_family_1;Roman Family;;;;;;;;;;;;;x
k_roman_family_2;Roman Family;;;;;;;;;;;;;x
k_roman_family_3;Roman Family;;;;;;;;;;;;;x
k_roman_family_4;Roman Family;;;;;;;;;;;;;x
k_roman_family_5;Roman Family;;;;;;;;;;;;;x
k_roman_family_6;Roman Family;;;;;;;;;;;;;x
k_roman_family_7;Roman Family;;;;;;;;;;;;;x
k_roman_family_8;Roman Family;;;;;;;;;;;;;x
k_roman_family_9;Roman Family;;;;;;;;;;;;;x
k_roman_family_10;Roman Family;;;;;;;;;;;;;x
k_roman_family_11;Roman Family;;;;;;;;;;;;;x
k_roman_family_12;Roman Family;;;;;;;;;;;;;x
k_roman_family_13;Roman Family;;;;;;;;;;;;;x
k_roman_family_14;Roman Family;;;;;;;;;;;;;x
k_roman_family_15;Roman Family;;;;;;;;;;;;;x
k_roman_family_16;Roman Family;;;;;;;;;;;;;x
k_roman_family_17;Roman Family;;;;;;;;;;;;;x
k_roman_family_18;Roman Family;;;;;;;;;;;;;x
k_roman_family_19;Roman Family;;;;;;;;;;;;;x
k_roman_family_20;Roman Family;;;;;;;;;;;;;x
k_roman_family_21;Roman Family;;;;;;;;;;;;;x
k_roman_family_22;Roman Family;;;;;;;;;;;;;x
k_roman_family_23;Roman Family;;;;;;;;;;;;;x
k_roman_family_24;Roman Family;;;;;;;;;;;;;x
k_roman_family_25;Roman Family;;;;;;;;;;;;;x
k_roman_family_26;Roman Family;;;;;;;;;;;;;x
k_roman_family_27;Roman Family;;;;;;;;;;;;;x
k_roman_family_28;Roman Family;;;;;;;;;;;;;x
k_roman_family_29;Roman Family;;;;;;;;;;;;;x
k_roman_family_30;Roman Family;;;;;;;;;;;;;x
k_roman_family_31;Roman Family;;;;;;;;;;;;;x
k_roman_family_32;Roman Family;;;;;;;;;;;;;x
k_roman_family_33;Roman Family;;;;;;;;;;;;;x
k_roman_family_34;Roman Family;;;;;;;;;;;;;x
k_roman_family_35;Roman Family;;;;;;;;;;;;;x
k_roman_family_36;Roman Family;;;;;;;;;;;;;x
k_roman_family_37;Roman Family;;;;;;;;;;;;;x
k_roman_family_38;Roman Family;;;;;;;;;;;;;x
k_roman_family_39;Roman Family;;;;;;;;;;;;;x
k_roman_family_40;Roman Family;;;;;;;;;;;;;x
k_roman_family_41;Roman Family;;;;;;;;;;;;;x
k_roman_family_42;Roman Family;;;;;;;;;;;;;x
k_roman_family_43;Roman Family;;;;;;;;;;;;;x
k_roman_family_44;Roman Family;;;;;;;;;;;;;x
k_roman_family_45;Roman Family;;;;;;;;;;;;;x
k_roman_family_46;Roman Family;;;;;;;;;;;;;x
k_roman_family_47;Roman Family;;;;;;;;;;;;;x
k_roman_family_48;Roman Family;;;;;;;;;;;;;x
k_roman_family_49;Roman Family;;;;;;;;;;;;;x
k_roman_family_50;Roman Family;;;;;;;;;;;;;x
k_roman_family_51;Roman Family;;;;;;;;;;;;;x
k_roman_family_52;Roman Family;;;;;;;;;;;;;x
k_roman_family_53;Roman Family;;;;;;;;;;;;;x
k_roman_family_54;Roman Family;;;;;;;;;;;;;x
k_roman_family_55;Roman Family;;;;;;;;;;;;;x
k_roman_family_56;Roman Family;;;;;;;;;;;;;x
k_roman_family_57;Roman Family;;;;;;;;;;;;;x
k_roman_family_58;Roman Family;;;;;;;;;;;;;x
k_roman_family_59;Roman Family;;;;;;;;;;;;;x
k_roman_family_60;Roman Family;;;;;;;;;;;;;x
